year.id,year.display-label,hisp.id,hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop_sex0_age999,totpop_sex0_age0to4,totpop_sex0_age5to9,totpop_sex0_age10to14,totpop_sex0_age15to19,totpop_sex0_age20to24,totpop_sex0_age25to29,totpop_sex0_age30to34,totpop_sex0_age35to39,totpop_sex0_age40to44,totpop_sex0_age45to49,totpop_sex0_age50to54,totpop_sex0_age55to59,totpop_sex0_age60to64,totpop_sex0_age65to69,totpop_sex0_age70to74,totpop_sex0_age75to79,totpop_sex0_age80to84,totpop_sex0_age85plus,totpop_sex0_medage
Id,Year,Id,Hispanic Origin,Id,Id2,Geography,Total; Both Sexes; Total,Total; Both Sexes; Under 5 years,Total; Both Sexes; 5 to 9 years,Total; Both Sexes; 10 to 14 years,Total; Both Sexes; 15 to 19 years,Total; Both Sexes; 20 to 24 years,Total; Both Sexes; 25 to 29 years,Total; Both Sexes; 30 to 34 years,Total; Both Sexes; 35 to 39 years,Total; Both Sexes; 40 to 44 years,Total; Both Sexes; 45 to 49 years,Total; Both Sexes; 50 to 54 years,Total; Both Sexes; 55 to 59 years,Total; Both Sexes; 60 to 64 years,Total; Both Sexes; 65 to 69 years,Total; Both Sexes; 70 to 74 years,Total; Both Sexes; 75 to 79 years,Total; Both Sexes; 80 to 84 years,Total; Both Sexes; 85 years and over,Total; Both Sexes; Median age (years)
cen42010,"April 1, 2010 Census",hisp,Hispanic,0100000US,,United States,50477594,5114488,4790771,4525242,4532155,4322275,4310471,4124483,3856340,3442400,3022074,2441454,1841432,1372385,948576,700142,510808,351488,270610,27.3
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0100000US,,United States,258267944,15086874,15557886,16151952,17508188,17263724,16791378,15837616,16323302,17448564,19686517,19856671,17823373,15445539,11486687,8578024,6806987,5391839,5222823,39.6
cen42010,"April 1, 2010 Census",totpop,Total,0100000US,,United States,308745538,20201362,20348657,20677194,22040343,21585999,21101849,19962099,20179642,20890964,22708591,22298125,19664805,16817924,12435263,9278166,7317795,5743327,5493433,37.2
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0100000US,,United States,50478611,5114495,4790780,4525263,4532323,4322395,4310588,4124575,3856448,3442495,3022171,2441509,1841474,1372409,948587,700151,510816,351498,270634,27.3
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0100000US,,United States,258279494,15086931,15557964,16152114,17509224,17265178,16792519,15838449,16324044,17449339,19687292,19857299,17823750,15445858,11486980,8578327,6807430,5392427,5224369,39.6
est42010,"April 1, 2010 Estimates Base",totpop,Total,0100000US,,United States,308758105,20201426,20348744,20677377,22041547,21587573,21103107,19963024,20180492,20891834,22709463,22298808,19665224,16818267,12435567,9278478,7318246,5743925,5495003,37.2
est72010,"July 1, 2010",hisp,Hispanic,0100000US,,United States,50752801,5127567,4810333,4542388,4542312,4344565,4313954,4145037,3871663,3464118,3043013,2470077,1866612,1393949,960894,707560,515109,356680,276970,27.3
est72010,"July 1, 2010",nhisp,Not Hispanic,0100000US,,United States,258585620,15061206,15520815,16138337,17439012,17357434,16829896,15924472,16207622,17441300,19593932,19883158,17928520,15596236,11560494,8629096,6805102,5402824,5266164,39.7
est72010,"July 1, 2010",totpop,Total,0100000US,,United States,309338421,20188773,20331148,20680725,21981324,21701999,21143850,20069509,20079285,20905418,22636945,22353235,19795132,16990185,12521388,9336656,7320211,5759504,5543134,37.2
